sequence,"positivity","sincerity","concreteness","intensity"
"@2skiiny was going to tweet about this! It really is, taste like thin mints if you're into those! :3 thin mints are my favorite along with Biscoff and golden Oreos haven't had Oreos in forever😭",0,0,1,0
"17 and acting like 11 🤡🤡🤡
I'd be embarrassed",-1,1,1,1
Introducing Redwing on the web 🎉 Signup at https://t.co/hSaurs5gng #comics #MarvelComics #DC #DCU https://t.co/J51XEpS5Yr,0,1,1,0
@ThebeMot Is Adam the inventor of rizz🤔?,0,0,1,0
@suxcouple Can I have next?😍,1,1,0,0
बाबा 💚🙏 https://t.co/tyV3a0OSqS,N/A,N/A,N/A,N/A
"What are the benefits of #AI for network teams? 
Addressing the IT skills gap ✔️
Streamlined processes ✔️
Improved user experience ✔️
Read why AI is a worthwhile investment for organisations in @networkingplus:  https://t.co/EV7oPdkARw",0,1,1,0
@calhant_ CALHAN HAPPY BIRTH!!! WISHING YOU A GREAT DAY 🎉,1,1,1,1
@edfeehly @veve_official @VeVeFamBam @VeVeMagic @VeveMaster @VeVeVivified @VeVeViral @MrF4lcon @johnnydunn777 @OMI__Homie @DeadPooWhale @MacandNFCheese @evlvd_collects @ChilCrazy @TheRealHinano @FosterHilt @DavidYuNZ @SleepynComics @SiliconSecure Who doesn’t love a train 🚂 set?!?  🔥🔥🔥,1,1,1,1
@B1son_ @aizyesque next aleksib why you wishing him bad luck 💀,-1,0,0,1
"Holy 💩! I just played 10€ in a slot machine, and won 760€!!!!

As our main Dave Chappel said, “I’m Rich Biiiotch!” - Robing the fuck out of the German bat owner! 🤘🏻💩😇",1,1,1,1
Happy Easter 🐰🐣🐇 https://t.co/4xjLnh4vqX,1,1,1,0
"@PhillipWeekley @k_monty22 It's only ""fraud"" if it's illegal.😉
Bloody should be though!👍

The whole industry is like that.
For example, pork sausages only need to contain 32% meat but if they call them ""bangers"" that goes down to 5% !! (which is more like a pork flavoured bread stick)",-1,1,1,0
@almajed4oud 😍🤍🤍🤍🤍🤍🤍🤍🤍🤍,1,1,0,1
i really love his expression 🥹 i mean how many times haechan teased him he just played along with it🫶🏻🫶🏻 neomu joha~ https://t.co/nR2nthFPTI,1,1,1,1
"Magpies, have you participated in our “Journey To 100K” #giveaway yet? 👀 

✔️ Post a Tweet and include a link to the video to participate. 

&amp; don't forget to tag @magpieprotocol + add the hashtag #100KMagpies in the Tweet. 
 
https://t.co/IILTj9qDHS https://t.co/pp1KdSNYC8",0,1,1,0
@ZironiVioletta @Neali0o @ohemmamiller Looks a bit small in the body especially with a WIDE neck!  Definitely wouldn't be my choice!  I'd think the voicing would be weird/weak.  Those D shaped necks are simply too much! 😇,-1,1,0,1
"230804 TREASURE HELLO IN SG

The boys were nice to on their flashlight since there were vans blocking us from seeing them boarding the bus. 

Idk who was in the last bus but they on the light till we can’t see them 🥹

#TREASUREINSG #TREASURE_HELLO_IN_SINGAPORE #TREASURE #트레저 https://t.co/E95cmjm7uk",0,1,0,0
@AloofG_ @lola_favv Werey say from the chat. Abi from experience 💀😂 https://t.co/VEPT6ggvDP,0,1,0,1
@JWillCrypto Happy Easter J and Gm💙🐇,1,1,1,0
@DanNathanRR @TwitterSupport @elonmusk @CNBCFastMoney Hope you don't pay for the blue ✔️.,0,1,1,0
@Azsweetness60 @YouTube 👍 saw them once in concert. They had a great show,1,1,1,0
It’s almost 5am I really need to sleep but damn 🥵,1,0,0,1
"@RhymesRadical Happy Easter Rad🌷🌷🐣💞💜
Welcome to the +3 club🤭😊",1,1,0,1
@Zalinium234 @spargles I’m only in support of the US joining Canada if you relinquish your unstable constitutional amendments and join the Commonwealth. We could call it: Canada 😎🇨🇦,1,0,1,0
@marshmallowminn ACKKK that means so much coming from u arch thank you ❤️,1,1,1,1
Happy Easter 🐇🐣🐰 💕👏🏾,1,1,1,0
"@kfariina Happiest birthday, Kak Karina! 💓🥳 May you have a fantastic day and many more to come!! 😆 https://t.co/cymGdYF7nD",1,1,1,1
"Good morning I woke up feeling so hung over 🥲 but finally looking through my fancams and 😍😍😍 the reason why Don’t Go is superior 😭😭💘 Look at these gorgeous men 😍❤️‍🔥I love them so much 💘

#TimeForEXO
#EXOCLOCK_D1 #EXOCLOCK_EXO_FANMEETING https://t.co/Rf8rhRqxDM",1,1,0,1
@HudsonHatley Then Sasha sneaks up behind Grevious to slice one of his arms off. (Awesom art btw 🔥) https://t.co/dMDFjkUoUY,1,1,0,0
i’ve tried converting them to keitaism but it hasn’t worked 😨,-1,1,1,0
"🐣🌷Wishing everyone a joyful and blessed Easter Sunday filled with love, happiness, and cherished moments with family and friends. Happy Easter! 🌼🐰 https://t.co/SWRtIRLDYx",1,1,1,1
@Bradwick11 @DailyLoud Yet he was just In cuba handing out thousands of dollars🤣,1,0,1,0
"@Meidas_LaurenA @mtgreenee Hey , and it takes one (mtg) to know one . How quaint . Let the 💩fly .",-1,1,1,0
@TSCinderace Some of these were my dream plush too😇,1,1,0,0
@Veronic31491223 @RonFilipkowski Just like their Keurigs. That was a hoot.😂🤡,1,1,0,0
"✨Thank you for giving me very nice and beautiful vehicle🥰💯✨🍀
✨🏆🔥CREATOR🏆✨🎨🧙💫
✨👑🔥@forro_sacana🏅💫
✨🏆🔥Distributer🏆✨
✨👑🔥@Alex_Jerezl🏅💫
✨I am very happy🥳💫
🍀thank you for today🙏🍀 https://t.co/McR19796wj",1,1,0,1
@pritipatel What a fantastic day it was 10years ago 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉 #inthemud https://t.co/o1nsJKSG5W,1,1,1,1
#NanoMatic it’s giveaway time 👀 who’s ready for something fun 💪,1,1,0,0
"@Sherrydp105 Happy Easter, Sharon.
🥚🥚🥚
I hope the Easter bunny has been to Chatsworth.
Love RupeeXXX ❤️❤️❤️ https://t.co/cYeOR4InhB",1,1,1,0
keep you eyes on this 👀👀👀,0,1,1,0
@yeargears Wihh congrats!! 🥳,1,1,1,1
"i really thought that he will focus more on his fam, will go hiatus for a long time but he chose to continue with his passion (music) and to us so thank you jongdae! you’re always worth the wait. 🤍",1,1,1,1
@Onewomantwodogs Yappy Barkday. Wow today you had to share with the Easter bunny 🐰 🐾🎂🐾🥳 https://t.co/WcW8ACXnMs,1,1,1,0
The size difference is staggering! What a lovely little thing! It’s only 24 years old too 🥰 40th Edition Mini in Burgundy perfection 🇬🇧 https://t.co/fJyDTsKun0,0,1,0,1
@nge_official グランカス🖕,N/A,N/A,N/A,N/A
@DougWahl1 Wasn't Jimmy one of the Repugnuts to ignore a subpoena? Maybe oblige Gym by ignoring the subpoenas that he feels obligated to hand out. He doesn't seem to put much stock into them. 😉🖕💁‍♂️,-1,0,0,1
"@SkegnessTownA
No fixture for us today.
Enjoy the leisure time fellas 🐣🥚🍻 ⚪🔴",1,1,0,0
@KobraTHFC @PaulE2Spurs @J_Chambo92 @rich_chandler @BBCMOTD Hahahaha you’re lost if you think that one’s a handball too 🫠,-1,0,0,0
"Just watched Ghostbusters Afterlife again. I cried again. Beautiful fun film. 
For Harold ❤️👻",1,1,1,0
"Join us for Market Updates, NFT NYC &amp; Overlord Updates. 

Over 2.5 ETH in NFT’s given away this year &amp; it’s just the start. 

This week is a @kandyland_io NFT🍭

🚨 Giveaway Rules🚨

✅Retweet my 📍 Tweet 
✅ Follow @Overlord_xyz 
✅ Follow @Wen_Radio 

 https://t.co/yMTAl73Syp",0,1,0,0
"You've been RATIOED!! Students screaming non-stop and holding a visitor hostage for a few hours, is not something that any decent University should be proud of! 😤",-1,1,1,1
No way we got to meet Azael and Flowers 😭🥹 https://t.co/v6pM7VswUa,1,1,1,1
"Our Easter package is still on, Celebrate Easter in style with our custom-printed apparel! From cute bunny tees to colourful egg hoodies, our collection has something for everyone. 

10% Off Today
To order 👉 09073016267 https://t.co/WtLhkbjBuD",1,1,1,0
@A7md5A اقل حاجه عندي 😎😂😂,N/A,N/A,N/A,N/A
@DiscussingFilm This mfker almost took me out 🤣 https://t.co/Ud78aABDBh,0,0,1,0
"still peak at most insane things i’ve ever done for this woman, the way @thisisluutrying @dyedkeelingreen and me really stayed there for 8 full hours 🥲",0,0,0,0
"🐶: I want you to be happy and love Kingdom. This is a great gift for me
(😭)",1,1,0,0
@_AsiwajuLerry Chelsea spend £660m take buy players and baba talk say “while they keep using same players” 🤡,-1,1,0,0
@mufaddal_vohra We are hear to win our 3 trophy 🏆 😎,1,0,1,0
"@cidercask That does sound like a good combo, aye 😋",1,1,1,0
"@ng28hy 強いねー、晴れてて良かった
電車乗り遅れて10分ぐらい待ちよ…😭
寒いわw",N/A,N/A,N/A,N/A
@EIonOUT Hold this and say it without crying 😉 https://t.co/vd5rQPURCx,0,0,1,0
Getting nominated with the likes of eunwoo and zayn is already a flex ngl haha @ActorHaein 🫡,1,1,0,0
1. #TXT The Name Chapter: TEMPTATION🔥 @TXT_members,0,1,0,0
Who gotta the website with the bootlegs 👀,0,1,1,0
Flyers about to make history🙏🏻,1,1,0,0
@axios Where the f*ck is the 💯 M that Bezos gave this guy being used?? We keep asking but no answers 😡,-1,1,1,1
"@muje_nhi_pta Ohh .. it's not in solar system 🥲- the reason you dont know about treat. 
Btw Eidi is new form of treat 🙂",0,1,0,0
@Faytuks now they scared yeah 🤣,1,0,1,0
"Do you know what your blood group is? 

Comment with an emoji or gif below: 🐣🍫🐰🌸🥚 https://t.co/GtuYW2J9nS",0,1,0,0
does sm want to invest in a movie for them 3 😂,0,0,1,0
Had such a good time with my fam 🤍,1,1,1,0
"Lizzo | Juice | Funky Pearls Mix
✅ https://t.co/tdV36gjAA2 https://t.co/hZm23nCF68",0,1,0,0
"@maej43 ""this genuinely wasn't in the small print"" 😂😂",1,1,1,1
"Good day for you my dear !
I miss you, and i will miss you for-ever 🫶❤️🫵🏻🫶❤️",1,1,1,1
"@bIueora Everyone going crazy when this came up the tl
I knew and I was like guys guys that’s my bestie go stream his solo 🫶😤🤪🔥🔥🔥",1,1,0,1
HAPPY POG BIRTHDAY BOSS!! POG POG 🎉🎉 spent the day watching the mario movie and getting desserts in honour of boss's bday~ #LucaPOGDay2023 https://t.co/N2Zx2sNYGa,1,1,1,1
Out and about at #bryantscove and a bit of Easter baking with Nanny🐇🧁 https://t.co/FD4uwhxs2C,0,1,1,0
This really is a step too far!….🙏🇬🇧,-1,1,0,0
Too Fast to Handle 🥵 https://t.co/6216Wa2g55,0,1,1,0
"@gunson_l @Susie_Sooz And they're now the Blackpool Brawling Club? 😋 (Actually think that's a better initialism than BCC really, and yes I know probably autocorrect did it)",1,1,0,0
"🚨🤯

#AI powered cars 🚗 and #AR headsets spy on everything ! 
👀🔍

📹 Cameras capture and stream everywhere 😱, raising serious concerns about privacy 🤔 

Is there no sanctity in a personal garage? 🏡 Is your own home 🏠 not a safe haven 🔒 anymore?

https://t.co/TBGfNb9CUL",-1,1,1,1
"#HLP Go for Discord 10,000 people🔥
The second stamp event, which was very successful, will start🎊
You can post up to 3 photos per person✨
Opportunity to get AL and FM💡
Winner probability🆙🎊#Giveaway is also being held🔥
https://t.co/zGtRVKxY2L https://t.co/BgIaUqpSoe",1,1,0,1
@VehicleTrackerz Nah most of our taxi's look like this and our roads are worser🤔🤔🤣🤣,-1,1,0,1
"The unisex Tuffa Aylsham Riding Boots are suitable for all riding disciplines; from hacking to schooling and jumping. 

Sizes 3/36 to 13/47
Slim, standard and wide fit
Black and Brown

👉 https://t.co/ewAbriJp7W

#RidingBoots #YardBoots #TuffaBoots #Equestrians https://t.co/73c5CBvcyn",0,1,1,0
@W2Kc3Qw3NyMbte5 ありがとうございまっス😊🤩🥳,N/A,N/A,N/A,N/A
"What is Easter? Time for chocolate bunnies, colorful eggs and Easter riddles! 🤓Here's one you'll surely like: What does the Easter bunny do after she takes a shower?... 🚿She uses a hare dryer! 🤪🐇 Retweet &amp; watch you hare 😋 &gt;&gt; https://t.co/ZMwfduVxQp https://t.co/lR2BqsmHwa",1,1,1,0
"😍Check this out! $US $19.97 only! ✅ FREE Shipping https://t.co/xpDdGNgcot $US $19.97
#kitchenappliences #plants #homegadgets #homeaccessories #artificialintelligence https://t.co/sGhwkSSR34",1,1,1,1
"Missed these babies so bad @bbrightvc @winmetawin 😭😭😭

#ไบร์ทวิน https://t.co/ZyERosxrGH",1,0,1,1
"We're back underway and ready for an important afternoon session 💪

Gloucs 481/7 (lead by 242)

𝗪𝗮𝘁𝗰𝗵 𝗹𝗶𝘃𝗲 👉 https://t.co/rh9bljo0au

#GLAMvGLOS | #GoGlam https://t.co/02sBLWLwfC",0,1,1,0
Agust D said: Ready to roll 🥵🔥 https://t.co/fx9kZZnFAD,0,1,0,1
"@azraelfallen @SAH19801 @OverUnderClover @mehdirhasan 🤣🤡
So, instead of looking it up, you just continue to make yourself look like an ass?
You must be a trump supporter",-1,1,1,1
"Find a way of re-uniting, promise to make a house for her parents, demolish those nests they are staying at the moment and disappear never to appear any more😂😂",0,0,1,0
"@wilderpatriot TRANS-is living a lie, 🤥🤥🤥, stop grooming children 🖕🖕🖕",-1,1,1,1
"I sometimes get excited LMFAO 🤣😍💪

Swept 50 @LlamaPixNFT this afternoon 

To the moon and beyond 🥳🚀🥳 https://t.co/RuI6erNfsS",1,1,0,1
@blackcircles Obviously chocolate eggs 😋,1,1,1,0
@scottmelker Did you pay your blue  ✔️ mark fees!,0,1,1,0
@Arsenal @AaronRamsdale98 Buzzing 🔥 should be england first choice,0,1,0,0
I drained my energy enough so I'm good for now 👌,-1,0,1,0
Happy Easter 🥚,1,1,1,0
HappY Easter To All 🐇🥚🧺🙏🏽🐣💐,1,1,1,0
@CFCDaily You wanted and celebrated this clown 🤡...have it now,-1,1,1,0
Can’t let run game on me 😂😢,0,0,0,1
@corpsefuckerr 😨 pls drop out of school it's not working for you xx,-1,0,1,1
"@_Dazythafirst Omo you really chow Easter Rice and Chicken abi

Normal dis your level of Happiness show say you don bellefu
😅😂😂😅😅😅 https://t.co/xT7x1VKk1H",0,0,0,1
"@isaacthequach @Chelzzzg_ @Wordsof_Rizdom 

Been in the discord since the 28th of August 🥳, can't follow the Instagram as I've gotten rid of the socials to focus more on my skill. Literally just used Twitter to follow traders I look up to and you're on @isaacthequach 🤍",0,1,1,0
Am I drunk? Yes. Am I attempting to do homework that’s due at midnight? Also yes. 🥹,1,0,0,1
@AZ_Brittney 🖕how about that,-1,1,1,1
"@SiggiFgc @Echo_StL Nah, I need my 7 frame active ROB dair to keep carrying me 😤",-1,0,1,0
I don't have the heart to watch this team against Benzema who's in god mode form 🥲,1,0,0,0
Good night today $200 in winnings need more days like today 🫡 https://t.co/JVK8KN9prs,1,1,0,0
My first meal of the day video for that ass. 😊👏🎉🎂🤗🎊👍😍🤟🥰😂🤣😂🤣🎈🌹❤🙏 https://t.co/1PdDmf5yES,1,1,0,1
Hell na mfs don’t like that hot 🥵 seat of honesty and TRUTH,-1,1,1,1
"Easter is just around the corner- which means lots of delicious chocolate! 😋🍫 Even astronauts get to munch on some of it in space- read about it here:
https://t.co/fB4AtdDMKQ https://t.co/XIODg4Vy56",1,1,1,0
"🐰 Afil Games wishes a Happy Easter to all gamers in the community! 💫

👉  Don't forget to stay updated on our games and new updates on our Steam page: https://t.co/F4tz5R4UTB https://t.co/WNlUS0Bqy5",1,1,1,0
"@Victorshi2020 Yeah, this time will be different because . . . 🤡",-1,1,0,1
@eww_davidd omg this looks so 🤤🤤😋,1,1,1,1
Does anyone have the set list they performed? 👀,0,1,1,0
Libra ♎️ men and dysfunctional water sign men 👀👀,0,1,1,1
"New T1 Galaxy Secert 

📇Name: Fairy Pegasus 
🥚Egg: Fairy 
🎲Rarity: 0.000003%
⭐️Exist: 3

Tags: #RobloxDev #Roblox https://t.co/ahMSoDVUbO",0,1,1,0
@josh_aslinger @Tennessee_Mojo @VOLiever She been sprinkling it around all week 😎,0,1,0,0
"Have a happy Easter friends 🌼💛
""Easter always puts a little spring in my step.""🎉🐣🐥 https://t.co/pSEk81xBnb",1,1,1,1
I just wanna run away … duck off and get away from all the bullshit and the world ✌🏽🫠💁🏽‍♀️,-1,0,0,1
@StockRetail @mewntix @algohack @mewnitx always screaming we lost $$$..  meanwhile he struggles to cover his loses.. 🔥🩳,-1,1,1,0
Waw real🎉,1,1,1,0
This movie was fire 😮‍💨,1,1,0,0
"@LiteChild Good naturedly, they appreciate your work so far and offer their respect for the work you continue to do for your lineage. 🙏♥️",1,1,0,0
@Sirius_8lack dag!!! I didn't even notice the flag until now.  I'm going to have to watch it again...this show✔️💯💯,1,1,1,1
sumin is my people cause he loves green🥺💖,1,1,1,0
@heluvbarica You have a beautiful smile.  ❤️,1,1,1,0
Easter Sunday roast with my handsome 🐣♥️ @carb0nmono https://t.co/e1WmSe4ynv,1,1,1,0
ALL RISE FOR THE FLAG 🗣️🏳️‍🌈 https://t.co/ILW9oRQrJv,1,1,1,1
"🤐😆😅💘😍
Staff first production police.
#济南 #合肥 https://t.co/QrHYGrO0UF",0,1,0,1
